image,gt_classes,pred_classes,missing_classes,extra_classes,has_false_positive,class_recall,class_precision,class_f1
042514560_jpg.rf.1abeefd1b04b0615b0ddf181da5c1d17.jpg,4D|6D|8S,6D|8S,4D,,False,0.6667,1.0000,0.8000
043616940_jpg.rf.d7f3c4744d2e714ab0f2b1def0c90454.jpg,10S|2H|6S,10C|10S|2H|8S,6S,10C|8S,True,0.6667,0.5000,0.5714
048920579_jpg.rf.52a409fa123fb7c9e804879311d06b63.jpg,5C|QC|QS,5C|QC|QS,,,False,1.0000,1.0000,1.0000
050154717_jpg.rf.257fbc7b9809b6d2326bb24450958714.jpg,2H|6C|AH,2H|6C|AH,,,False,1.0000,1.0000,1.0000
053980596_jpg.rf.215b73faec863cbda7e85d127c5c9c5e.jpg,5H|6C|6S,5H|6S,6C,,False,0.6667,1.0000,0.8000
055934321_jpg.rf.b423a7b78edb406311067de64dc17851.jpg,4S|5H|5S,4S|5H|5S,,,False,1.0000,1.0000,1.0000
057760411_jpg.rf.73a24080aca7ac4474017fc1164c7fae.jpg,10D|10S|QD,10C|10D,10S|QD,10C,True,0.3333,0.5000,0.4000
063337042_jpg.rf.4f2a00b9b823975f21c1cd5f264efa54.jpg,8D|AC|KD,8D|AC|JD,KD,JD,True,0.6667,0.6667,0.6667
064740979_jpg.rf.100bbcf8b46c9364c74844583c6c3f86.jpg,6C|7H|QS,7H,6C|QS,,False,0.3333,1.0000,0.5000
068072443_jpg.rf.8a5f11037ae4ef135bbd971587291eec.jpg,5S|8D|AC,5S,8D|AC,,False,0.3333,1.0000,0.5000
071635855_jpg.rf.36fbd40540d9463492a280a2a4086034.jpg,10H|4H|QH,10H|4H|QH,,,False,1.0000,1.0000,1.0000
073145360_jpg.rf.506faee469852ea5f4b915dd856fb7c2.jpg,7D|QH,7D|7H,QH,7H,True,0.5000,0.5000,0.5000
074112270_jpg.rf.75cc31a0f29be61ad0a1bec5eedc639e.jpg,10D|3D|9H,10D|3D|9H,,,False,1.0000,1.0000,1.0000
079046420_jpg.rf.76d4c524e30a2468a85bcb596bd14aba.jpg,4C|KH,4C|KH,,,False,1.0000,1.0000,1.0000
080014567_jpg.rf.538bd5b40de234840d9b8d8dc7fce5e8.jpg,6D|8S|AH,8S|AH,6D,,False,0.6667,1.0000,0.8000
085743531_jpg.rf.f45332ddb8318b5d2fb738a1d958384d.jpg,2D|AD|JD,AD|JD,2D,,False,0.6667,1.0000,0.8000
090004563_jpg.rf.198cbc3266b1b08cd403d1425831072c.jpg,5D|7D|QC,5D|7D,QC,,False,0.6667,1.0000,0.8000
095780474_jpg.rf.cf13ecf3ee28df01fda20a37af430ccc.jpg,9D|AD|QC,AD,9D|QC,,False,0.3333,1.0000,0.5000
101297817_jpg.rf.cdbff07feb7685b8144a315f2cb6e22e.jpg,8S|JH|JS,8S|JD|JH|JS,,JD,True,1.0000,0.7500,0.8571
101685277_jpg.rf.e04ba2ce79f08fa80726cf16831883bd.jpg,3S|6S|QC,3C|3S,6S|QC,3C,True,0.3333,0.5000,0.4000
104438329_jpg.rf.97ba9bd02523a5effcb05cd31205dc21.jpg,10S|7D|JD,10S|7D|JD,,,False,1.0000,1.0000,1.0000
111180444_jpg.rf.f955eb45ec6437d947d5f67c01bea0e9.jpg,3H|5C|6S,3H|5C|5S,6S,5S,True,0.6667,0.6667,0.6667
111899556_jpg.rf.2f56e3aa02c9648343cece23d2ddd16c.jpg,10H|5C|9S,10H|8S,5C|9S,8S,True,0.3333,0.5000,0.4000
112446226_jpg.rf.770598e6985262f3a6183b8ac98d0692.jpg,5D|6C|KD,5D|6C|KD|KH,,KH,True,1.0000,0.7500,0.8571
113195358_jpg.rf.59f8223273f06f3f153d10dbc0e4ffbe.jpg,10C|6S|QD,10C,6S|QD,,False,0.3333,1.0000,0.5000
118092265_jpg.rf.6006fd85c0d663487e393b03de67ae16.jpg,3S|8S|JD,JD,3S|8S,,False,0.3333,1.0000,0.5000
119779040_jpg.rf.e13dcdc8f3ede0ce17f9a72327ba810a.jpg,3S|4D|7H,3S|7H,4D,,False,0.6667,1.0000,0.8000
121553051_jpg.rf.1d3be9d548a418e51cfb52c87bef8f2a.jpg,3C|4D|5S,4D|5S,3C,,False,0.6667,1.0000,0.8000
121915385_jpg.rf.0e357e4cebc3101c7ca0cadb5b8efb46.jpg,8H|AC|JC,8H|JC,AC,,False,0.6667,1.0000,0.8000
125332851_jpg.rf.c81d92a10948a04aa8ae8a70a6deb625.jpg,7D|9C|JH,7D|JH,9C,,False,0.6667,1.0000,0.8000
129150288_jpg.rf.71bd1bcbb9fa74532011357358f257d5.jpg,10S|2D,10S|2D,,,False,1.0000,1.0000,1.0000
132486099_jpg.rf.675e9e3f94e0a1e04f250a7b7fe1eccc.jpg,10D|2C|5D,10D|2C|5D,,,False,1.0000,1.0000,1.0000
137729216_jpg.rf.c85897d25abcacbeff8697f3fcc364e8.jpg,4H|8H|JS,4H|8H|JS,,,False,1.0000,1.0000,1.0000
141723110_jpg.rf.36448581ec3ae95653e087f06464f2b6.jpg,JC|QD,JS|QD,JC,JS,True,0.5000,0.5000,0.5000
141750242_jpg.rf.c02318c986daee4c4ea6cc5c1d644635.jpg,3H|5S|KH,5D|5S|KH,3H,5D,True,0.6667,0.6667,0.6667
144180383_jpg.rf.42f146f47a0981808206b64942024b1c.jpg,5C|7C|8C,5C|7C,8C,,False,0.6667,1.0000,0.8000
144219121_jpg.rf.e3602cd5f4ad220ab86b363da18b5e67.jpg,4S|AS|JH,4S,AS|JH,,False,0.3333,1.0000,0.5000
145396989_jpg.rf.de2e70782026004c702c2ec32c9536bc.jpg,8D|JD,8D|JD,,,False,1.0000,1.0000,1.0000
145696005_jpg.rf.4dd761e4800288bd80a58be32956302b.jpg,10H|3D|AC,AC,10H|3D,,False,0.3333,1.0000,0.5000
146254247_jpg.rf.5c2a57698e3041f8daef344f35d0713e.jpg,5C|AH|JC,AH,5C|JC,,False,0.3333,1.0000,0.5000
146340808_jpg.rf.3c7896417c4030340d26f7be9018f51e.jpg,2S|4S|5D,4S|5D,2S,,False,0.6667,1.0000,0.8000
146697529_jpg.rf.e916dd59bd93022efcb4afe197706694.jpg,10S|5H|JH,10S|5H|JH,,,False,1.0000,1.0000,1.0000
146757854_jpg.rf.9783b16c5c6a9f5e5137f28f281f0796.jpg,5H|AD|AS,5H|AC|AD|AH,AS,AC|AH,True,0.6667,0.5000,0.5714
148035226_jpg.rf.4c4c0c8255f679e15221722e3da2e682.jpg,5S|8S|KC,KC,5S|8S,,False,0.3333,1.0000,0.5000
150949061_jpg.rf.3ca71fcd6101f47d6752c30af0aafd9e.jpg,8C|9H|AS,9H,8C|AS,,False,0.3333,1.0000,0.5000
151271788_jpg.rf.b6587c1bce33ae3c5005b69f2752122c.jpg,5S|AS|JD,5S|AC|JD,AS,AC,True,0.6667,0.6667,0.6667
151860990_jpg.rf.1bb587c8e5a4990d68792c43f11f3e2d.jpg,2H|4H|JS,2H|4H|JS,,,False,1.0000,1.0000,1.0000
152513649_jpg.rf.fb20145773aafdf416fef10c85c30be3.jpg,9H|AC|AH,9H|AC|AH,,,False,1.0000,1.0000,1.0000
154608610_jpg.rf.2fd49822a3ccfc507bde2b0d32ce71fb.jpg,3D|7D|7S,7D|7S,3D,,False,0.6667,1.0000,0.8000
157474020_jpg.rf.f983a12d5f08a5a4986e89545a1d594d.jpg,2H|QC|QD,2H,QC|QD,,False,0.3333,1.0000,0.5000
157594826_jpg.rf.bc0d90779edf959648f82884f2ed109e.jpg,3H|6S|AS,6S|8S|AS,3H,8S,True,0.6667,0.6667,0.6667
165763695_jpg.rf.679c9748744db38003fb93597517a637.jpg,3C|6D,3C,6D,,False,0.5000,1.0000,0.6667
170825035_jpg.rf.8f0039ad6b9bf333baf214cdab40f6d5.jpg,10H|4H|5S,4H|5S,10H,,False,0.6667,1.0000,0.8000
175866508_jpg.rf.da5743fa4cbcf45eb018f1cf411fb040.jpg,10S|4S|6C,10S|4S,6C,,False,0.6667,1.0000,0.8000
176474152_jpg.rf.08af669442bc24b5bbf6c40326e48180.jpg,6C|8C|AD,AD,6C|8C,,False,0.3333,1.0000,0.5000
179663480_jpg.rf.a44241a835bf0c878159f27b2a665330.jpg,10C|2D|3D,10C|2D,3D,,False,0.6667,1.0000,0.8000
179965519_jpg.rf.1e109d84468939f510d7d0f4c4c42d94.jpg,5S|AC|AD,5S|AC|AD,,,False,1.0000,1.0000,1.0000
183492439_jpg.rf.5303143bf20675145f26cfaac1e26ec5.jpg,2C|7D|AH,2C|7D|AH,,,False,1.0000,1.0000,1.0000
190778462_jpg.rf.9a088887522fbd0e6a8d80e2b7ca88b8.jpg,4D|8C|QS,4D|8C,QS,,False,0.6667,1.0000,0.8000
194140093_jpg.rf.4e311c61062188e5916a7fb07b9ba037.jpg,3S|AS|QD,QD,3S|AS,,False,0.3333,1.0000,0.5000
197639949_jpg.rf.0efc0e9519238fdabb7bc6e1d881403b.jpg,4D|6H|8S,4D|8S,6H,,False,0.6667,1.0000,0.8000
200498406_jpg.rf.33e3a885c7d441981f8a74750e794f74.jpg,7D|JC|KC,7D,JC|KC,,False,0.3333,1.0000,0.5000
203348806_jpg.rf.e1d08e883f7d223c8c195db731ca57ab.jpg,7H|AS|QD,7D|AS|QD,7H,7D,True,0.6667,0.6667,0.6667
205338076_jpg.rf.02caaeedbeddf806c80f4f300c3904d0.jpg,2H|6C|AC,2H|6S|AC,6C,6S,True,0.6667,0.6667,0.6667
205387250_jpg.rf.45361a9fa3f0b2a9e9e8090afa2d99e7.jpg,10D|8D|KD,10D|8D|9D|JD,KD,9D|JD,True,0.6667,0.5000,0.5714
206260205_jpg.rf.a4687eab7745b059335b39690aeaf54b.jpg,10C|4D|AS,10C|4D|AS,,,False,1.0000,1.0000,1.0000
206632130_jpg.rf.b1d692fc46f446b78358a4692f803724.jpg,2H|4H|8S,4H|8S,2H,,False,0.6667,1.0000,0.8000
209082339_jpg.rf.e5779e9b814fac44ea53e2a752ba6655.jpg,4S|5S|QS,QS,4S|5S,,False,0.3333,1.0000,0.5000
209197398_jpg.rf.5a879aac7894b128a5168ec991b748b7.jpg,3D|5C|7S,5C|7S,3D,,False,0.6667,1.0000,0.8000
210209123_jpg.rf.0294820e10dd228e36e92ce15deca19e.jpg,2S|5C|7D,5C|7D,2S,,False,0.6667,1.0000,0.8000
212295188_jpg.rf.188ab6258cbf2979ba0b8803d8f2227d.jpg,2D|3H|7H,3H|7H,2D,,False,0.6667,1.0000,0.8000
214626879_jpg.rf.375bc984b5eec0bed242adcfa8f59873.jpg,7D|7H|AD,7D|7H,AD,,False,0.6667,1.0000,0.8000
215847938_jpg.rf.1384f4402b357eddcad001ffb61d7e4f.jpg,3D|7S|KH,3D|7S|KH,,,False,1.0000,1.0000,1.0000
216547814_jpg.rf.2dc320245f8c4580b9508ea62fc2cd1f.jpg,4C|5C|8D,4C|5C|8D,,,False,1.0000,1.0000,1.0000
218932460_jpg.rf.072b1d7a5ed26dde7f44ab7f241a8948.jpg,4H|8H|JC,4H|8H|JC,,,False,1.0000,1.0000,1.0000
222006250_jpg.rf.0926aa6df51f75fda36df402d39eebfb.jpg,10C|5D|KH,10C|KH,5D,,False,0.6667,1.0000,0.8000
223557298_jpg.rf.94e5cddad641ab13aaeb1fe0282fae6f.jpg,10D|7D|QD,10D|7D|QD,,,False,1.0000,1.0000,1.0000
224029800_jpg.rf.2b99d75f4a3869dff1ec7b1e1e6f0bb2.jpg,6D|6S|7H,6S,6D|7H,,False,0.3333,1.0000,0.5000
225035248_jpg.rf.0592610138fe2f8e9ff1b6610cff9d18.jpg,4S|8D|QC,8D|QC,4S,,False,0.6667,1.0000,0.8000
236446787_jpg.rf.9ecd2857e93bba1b2b1ba256a6f4d6c3.jpg,3C|8H|AS,3C|8H|AC,AS,AC,True,0.6667,0.6667,0.6667
236866252_jpg.rf.1a01be9691bbf708e0d75dab96582fac.jpg,7H|JC|QD,7D|7H,JC|QD,7D,True,0.3333,0.5000,0.4000
239818902_jpg.rf.af02c9348f45cd2f4679a075ac9d9d3c.jpg,3D|8S|JD,3D|JD,8S,,False,0.6667,1.0000,0.8000
239943081_jpg.rf.04791805a7f69572902f167d142c0bd2.jpg,2S|7C|QC,7C|7S|QC|QS,2S,7S|QS,True,0.6667,0.5000,0.5714
241097025_jpg.rf.5ab663940853dc772337661cf00b70ee.jpg,8C|8S|JH,8C,8S|JH,,False,0.3333,1.0000,0.5000
241332035_jpg.rf.10e08c48e3a9b8bc0bd545d4b9f8aba0.jpg,6H|7S|9S,7S|9H|9S,6H,9H,True,0.6667,0.6667,0.6667
241349077_jpg.rf.ec054077f3b98b2c219cdd4ce4fd6efe.jpg,7D|9C|AS,7D|AS,9C,,False,0.6667,1.0000,0.8000
245630960_jpg.rf.a2ffa6de3368019ed37bd2ffe4d012ff.jpg,5D|5H|AH,5D|5H|AH,,,False,1.0000,1.0000,1.0000
246342667_jpg.rf.053ca46c9b9b9cdfc1e0adf8efd6cb6d.jpg,2S|6D|JC,6D|JC,2S,,False,0.6667,1.0000,0.8000
251898380_jpg.rf.dc42d232fb24a13214f9607e4238b1e0.jpg,7S|QD,7S|QD,,,False,1.0000,1.0000,1.0000
252613028_jpg.rf.aa7e9942172cb7ae94850473d64d5915.jpg,5C|8H|JS,5C|8H,JS,,False,0.6667,1.0000,0.8000
255782428_jpg.rf.a9585865cd79febb6e25a37e0b8d0349.jpg,2S|7S|KD,2C|7S,2S|KD,2C,True,0.3333,0.5000,0.4000
255803240_jpg.rf.932bc3ecfe985b1f75aac94248140c1e.jpg,6S|8H|KS,6S|8H|9H|KS,,9H,True,1.0000,0.7500,0.8571
256512496_jpg.rf.1e5a7330ec6ca7e209495b3f94550463.jpg,7D|AH|QC,7D|AH|QS,QC,QS,True,0.6667,0.6667,0.6667
257419206_jpg.rf.a24323c8afb3e6ec056f8795be7d448a.jpg,6H|AD|JS,AD,6H|JS,,False,0.3333,1.0000,0.5000
260526305_jpg.rf.69e677c68675e82bee184ef0c95e6d31.jpg,2D|4H|KH,3D|4H|KH,2D,3D,True,0.6667,0.6667,0.6667
260893743_jpg.rf.108dca25eb0b5a9692588d3a7e795b30.jpg,10D|7S|8S,10D|7S|8S,,,False,1.0000,1.0000,1.0000
262683337_jpg.rf.e790a99c543ee0d827a1b4aea4bbc39d.jpg,JS|QC|QS,QC|QS,JS,,False,0.6667,1.0000,0.8000
263140249_jpg.rf.3aeed318a96e644db99e4fd7841bc187.jpg,5S|6S|JS,5S|8S,6S|JS,8S,True,0.3333,0.5000,0.4000
266901299_jpg.rf.48ae871ffe727ae9fa412110aebe772f.jpg,10S|3H|8H,10S|8H,3H,,False,0.6667,1.0000,0.8000
272235752_jpg.rf.f43340fc1523e4e627c06081c2bf71a3.jpg,6S|9S|QD,9S|QD,6S,,False,0.6667,1.0000,0.8000
277293160_jpg.rf.2d0a823efbb995ad73296725c18b96a8.jpg,3C|3H|QD,3H|QD,3C,,False,0.6667,1.0000,0.8000
279503414_jpg.rf.0c63cd6be0c2f29e8c068dae3c559ee4.jpg,7S|8C|KS,7S|8C|KS,,,False,1.0000,1.0000,1.0000
279572969_jpg.rf.04565c1b17dc07af7d06113b9a9533ad.jpg,7D|7S|9H,7D|7S|9H,,,False,1.0000,1.0000,1.0000
281749562_jpg.rf.d8e7e99bcb09a15a4dd66b4b8f04ebd6.jpg,10H|8H|QH,8H|QH,10H,,False,0.6667,1.0000,0.8000
285263970_jpg.rf.acfd012d39314ec7bf5d293ac4ccee19.jpg,2C|6S|8H,2C|6S|8H,,,False,1.0000,1.0000,1.0000
285927632_jpg.rf.f4863aa0a7aa9b29d43f43430fb75d24.jpg,6H|KD|QD,QD,6H|KD,,False,0.3333,1.0000,0.5000
289071087_jpg.rf.ebb6eb634d17006775716bbe128be82f.jpg,2H|3D|AH,3D|AH,2H,,False,0.6667,1.0000,0.8000
290008251_jpg.rf.47eab826d18d73df395e43bc4bb735c7.jpg,4H|4S|5S,4H|4S|5S,,,False,1.0000,1.0000,1.0000
294074596_jpg.rf.e1b9686e28b63a9cffc798c21c80f8a8.jpg,5C|7D|AS,5C|7D|AC,AS,AC,True,0.6667,0.6667,0.6667
296606241_jpg.rf.bf2f7d7f65ceb68ddf97ef6c205bb77b.jpg,3S|8H|QC,3S|8H|QC,,,False,1.0000,1.0000,1.0000
297041922_jpg.rf.ed761ac1409ca913d92bdb73a60efaf1.jpg,4S|9S|JD,4S|JD,9S,,False,0.6667,1.0000,0.8000
298195363_jpg.rf.ac7a41c30ab9cc76bb5ec81556ac2822.jpg,9D|AD|JS,AD|JC,9D|JS,JC,True,0.3333,0.5000,0.4000
298330496_jpg.rf.048268264ed56dd04294f98c8b12e513.jpg,10S|8S|KH,10S|8S|KH,,,False,1.0000,1.0000,1.0000
305122093_jpg.rf.cdc1700baea46d46bece837ff01e3d3e.jpg,10H|5H|7S,10H|7S,5H,,False,0.6667,1.0000,0.8000
305532045_jpg.rf.6af5797cf0d66c16a1df18ebfc1177e7.jpg,2S|9S,9S,2S,,False,0.5000,1.0000,0.6667
306857607_jpg.rf.be5a62c3145dca6403caeeec9c07e062.jpg,10C|8D|KH,10C|8D|KH,,,False,1.0000,1.0000,1.0000
310121956_jpg.rf.7ca73744ed6479348f967f42f7d1c49f.jpg,2H|2S|6S,2H,2S|6S,,False,0.3333,1.0000,0.5000
312222824_jpg.rf.671665a4c4bbc6d5920f41ae6a7358d0.jpg,3S|7C|9H,3C|7C,3S|9H,3C,True,0.3333,0.5000,0.4000
312619145_jpg.rf.a4034438bb3797a7311c1de02160e8c3.jpg,10C|8C|QS,QS,10C|8C,,False,0.3333,1.0000,0.5000
321493355_jpg.rf.d04fdfca2fc118eb0a81e3a0cc06a079.jpg,5H|7H|9H,7H|9H,5H,,False,0.6667,1.0000,0.8000
323301683_jpg.rf.c980aff10e30760f0212713e5bd3d5e0.jpg,7H|9H|KC,7H|9H|KC,,,False,1.0000,1.0000,1.0000
327786040_jpg.rf.55697c66b91360a29d41241431495a85.jpg,9C|9S|JC,9C,9S|JC,,False,0.3333,1.0000,0.5000
330063189_jpg.rf.68f2bf713ffde7d618aecb6dcc30da76.jpg,3S|4D|8H,4D|8H,3S,,False,0.6667,1.0000,0.8000
330166153_jpg.rf.2630fade5667108a4ba3fe976aa40308.jpg,10H|2C|8D,10H|2C,8D,,False,0.6667,1.0000,0.8000
332430556_jpg.rf.bbff3e1a0009df4840fc515d4850aaf4.jpg,JH|QC,JD|JH|QC|QS,,JD|QS,True,1.0000,0.5000,0.6667
333851746_jpg.rf.6504ce23eb4369c10dcf9528f8a6418f.jpg,10C|10S|8D,10C|10S,8D,,False,0.6667,1.0000,0.8000
334682805_jpg.rf.94cd678db83fbb7586300b72df6907a8.jpg,2H|3H|KD,2H|KH,3H|KD,KH,True,0.3333,0.5000,0.4000
336068313_jpg.rf.ce6cfaaa3a67580f2bb6e66df5e2eaf4.jpg,2C|AD|AS,2C|AD|AS,,,False,1.0000,1.0000,1.0000
337115826_jpg.rf.9c78f6b7f75b1307b7882a222ac11cb4.jpg,10S|6C|AS,10S|AC,6C|AS,AC,True,0.3333,0.5000,0.4000
339209428_jpg.rf.9f6c2c3ec77c4eb8dc70ef339f0269e1.jpg,10D|JD,10D|JD,,,False,1.0000,1.0000,1.0000
342845764_jpg.rf.cb34af7b44d6f9941db9386192131ffa.jpg,3H|6C|JS,6C|9C,3H|JS,9C,True,0.3333,0.5000,0.4000
343876222_jpg.rf.aae14b1e7d4d2549e731f33df3500ce7.jpg,2D|JH|KD,2D|JH,KD,,False,0.6667,1.0000,0.8000
344058934_jpg.rf.379daa81d769ed97502ab6855788607c.jpg,2S|3H|JC,JC|JS,2S|3H,JS,True,0.3333,0.5000,0.4000
346032305_jpg.rf.b2762b473bc62e031ed88bf77daded19.jpg,AH|AS|JH,AC|AH|JH,AS,AC,True,0.6667,0.6667,0.6667
348356833_jpg.rf.8ffa87aa4f9b486a4ed6e55baa3e470b.jpg,10D|3D|QS,10D|10H|4D,3D|QS,10H|4D,True,0.3333,0.3333,0.3333
348381641_jpg.rf.cbe588f2b542107716b395068e214646.jpg,KS|QC|QH,KS|QH,QC,,False,0.6667,1.0000,0.8000
351229848_jpg.rf.67002556aa068101955090e82d7e8427.jpg,3C|3D|5D,3D,3C|5D,,False,0.3333,1.0000,0.5000
352516544_jpg.rf.cc5ecf3801bc55eea10cb653ee1d4efb.jpg,4C|5D|AC,4C|4S|5D,AC,4S,True,0.6667,0.6667,0.6667
353485553_jpg.rf.ebf3348027f04304922cb26efc6b30de.jpg,5H|8S|KC,8S,5H|KC,,False,0.3333,1.0000,0.5000
353880322_jpg.rf.9dd019ebb56f8a592cbbbe0b090aa9f8.jpg,6D|8S|AS,6D|8S|AC,AS,AC,True,0.6667,0.6667,0.6667
355135683_jpg.rf.dc62a73fd624360a1344321c2456b031.jpg,10S|8S|AC,10S|8S|AC,,,False,1.0000,1.0000,1.0000
357618668_jpg.rf.fd23c6e7125eca3d285b591e249928eb.jpg,10C|5S|QD,5S|QD,10C,,False,0.6667,1.0000,0.8000
357967567_jpg.rf.4c23314a3dab71b7441aaec3d45aced7.jpg,3C|3H|7H,3S|7H,3C|3H,3S,True,0.3333,0.5000,0.4000
358702940_jpg.rf.1fb53457dbc227b066c74aeaba0c40b8.jpg,2S|9C|QH,9S|QH,2S|9C,9S,True,0.3333,0.5000,0.4000
360253505_jpg.rf.04fe19c1dd7b819f1343e77a17ffa1cc.jpg,4C|8D|QD,QD,4C|8D,,False,0.3333,1.0000,0.5000
361075061_jpg.rf.8e7a9b477849c6828d369a9ba4a43e9c.jpg,10S|4H|5D,10S|4H,5D,,False,0.6667,1.0000,0.8000
366166258_jpg.rf.b87ed1f38a1a206b22d824ae2e785e2f.jpg,4C|7D|AD,4C|7D|AD,,,False,1.0000,1.0000,1.0000
374459681_jpg.rf.db888099cc76def1f0cc7be785ea78e5.jpg,10D|8H,8H|9H,10D,9H,True,0.5000,0.5000,0.5000
377863464_jpg.rf.599be440c65df2dd1ddca2a6ec707954.jpg,4C|7D|KC,4C|7D,KC,,False,0.6667,1.0000,0.8000
383018416_jpg.rf.577e2cdb6757900de5371a088536c8e8.jpg,2D|JD|KS,JD|KS,2D,,False,0.6667,1.0000,0.8000
384072142_jpg.rf.bf8d0f18b1b873b39df10abf8ddf24b7.jpg,3D|9C|QC,3D|9C,QC,,False,0.6667,1.0000,0.8000
387453418_jpg.rf.f304cc50d8a3bae16dc782133f02591f.jpg,9H|QS,9H,QS,,False,0.5000,1.0000,0.6667
387996477_jpg.rf.7eff3f518adae08c8458fbe211c34f99.jpg,4D|AC|AD,4D|AC,AD,,False,0.6667,1.0000,0.8000
389944457_jpg.rf.5de431a62a331385e296ba84985df709.jpg,2S|5C|KD,5C|KD|KH,2S,KH,True,0.6667,0.6667,0.6667
390274834_jpg.rf.2df5a41c2c14f25c384f8a686467f797.jpg,2C|4C|AD,2C|AD,4C,,False,0.6667,1.0000,0.8000
391582875_jpg.rf.24d10a4184d56837804de3ad3c3866c3.jpg,3H|4D|9D,4D|9D,3H,,False,0.6667,1.0000,0.8000
393044471_jpg.rf.b547032ceb9720c673eaf49fcfca8b8c.jpg,9H|KC|KS,9H|KC|KS,,,False,1.0000,1.0000,1.0000
393428093_jpg.rf.9dd76339bf0c52e87d818471ab2d6da6.jpg,10C|5H|7C,10C|7C,5H,,False,0.6667,1.0000,0.8000
400181469_jpg.rf.7968a6dcea89bb83aaeb579d11f849cc.jpg,10S|9C|JC,10S,9C|JC,,False,0.3333,1.0000,0.5000
400890028_jpg.rf.0cbee1229afcb2edf3770494d4667782.jpg,2C|7S,2C,7S,,False,0.5000,1.0000,0.6667
401572722_jpg.rf.81d1809a9b7442e23b3d3a6158b575dd.jpg,3C|8H|JS,JC,3C|8H|JS,JC,True,0.0000,0.0000,0.0000
402882191_jpg.rf.cc76d4063a4b1b53a4ae55444b1039e0.jpg,10D|4S|KS,10D|4S|KC,KS,KC,True,0.6667,0.6667,0.6667
